Category: All categories,
,
Month,Viborg FF: (Denmark)
2004-01,53
2004-02,53
2004-03,48
2004-04,62
2004-05,50
2004-06,54
2004-07,57
2004-08,67
2004-09,67
2004-10,66
2004-11,55
2004-12,54
2005-01,58
2005-02,61
2005-03,61
2005-04,65
2005-05,65
2005-06,72
2005-07,67
2005-08,75
2005-09,72
2005-10,60
2005-11,65
2005-12,58
2006-01,62
2006-02,62
2006-03,62
2006-04,63
2006-05,64
2006-06,67
2006-07,69
2006-08,75
2006-09,68
2006-10,64
2006-11,64
2006-12,58
2007-01,66
2007-02,61
2007-03,65
2007-04,70
2007-05,76
2007-06,69
2007-07,79
2007-08,83
2007-09,68
2007-10,67
2007-11,64
2007-12,58
2008-01,67
2008-02,70
2008-03,76
2008-04,68
2008-05,71
2008-06,73
2008-07,68
2008-08,74
2008-09,72
2008-10,64
2008-11,59
2008-12,60
2009-01,69
2009-02,67
2009-03,64
2009-04,71
2009-05,70
2009-06,71
2009-07,70
2009-08,78
2009-09,68
2009-10,68
2009-11,69
2009-12,65
2010-01,70
2010-02,63
2010-03,71
2010-04,74
2010-05,75
2010-06,72
2010-07,63
2010-08,81
2010-09,73
2010-10,74
2010-11,72
2010-12,71
2011-01,76
2011-02,84
2011-03,81
2011-04,80
2011-05,82
2011-06,81
2011-07,74
2011-08,84
2011-09,78
2011-10,75
2011-11,71
2011-12,66
2012-01,69
2012-02,64
2012-03,66
2012-04,68
2012-05,65
2012-06,63
2012-07,69
2012-08,71
2012-09,69
2012-10,62
2012-11,63
2012-12,65
2013-01,64
2013-02,68
2013-03,66
2013-04,71
2013-05,68
2013-06,65
2013-07,73
2013-08,88
2013-09,75
2013-10,66
2013-11,77
2013-12,63
2014-01,68
2014-02,69
2014-03,69
2014-04,87
2014-05,77
2014-06,75
2014-07,72
2014-08,83
2014-09,75
2014-10,70
2014-11,66
2014-12,65
2015-01,69
2015-02,67
2015-03,100
2015-04,78
2015-05,76
2015-06,76
2015-07,77
2015-08,83
2015-09,73
2015-10,80
2015-11,74
2015-12,74
2016-01,67
2016-02,74
2016-03,72
2016-04,82
2016-05,75
2016-06,78
2016-07,74
2016-08,79
2016-09,82
2016-10,72
2016-11,10
2016-12,2
2017-01,2
2017-02,3
2017-03,3
2017-04,6
2017-05,11
2017-06,6
2017-07,4
2017-08,6
2017-09,4
2017-10,4
2017-11,3
2017-12,1
2018-01,2
2018-02,2
2018-03,3
2018-04,4
2018-05,4
2018-06,2
2018-07,3
2018-08,4
2018-09,4
2018-10,4
2018-11,3
2018-12,1
2019-01,1
2019-02,3
2019-03,3
2019-04,3
2019-05,7
2019-06,4
2019-07,3
2019-08,5
2019-09,4
2019-10,3
2019-11,5
2019-12,1
2020-01,1
2020-02,2
2020-03,1
2020-04,1
2020-05,2
2020-06,3
2020-07,3
2020-08,2
2020-09,4
2020-10,4
2020-11,3
2020-12,2
2021-01,2
2021-02,3
2021-03,3
2021-04,5
2021-05,7
2021-06,3
2021-07,7
2021-08,7
2021-09,6
2021-10,10
2021-11,6
2021-12,2
2022-01,3
2022-02,8
2022-03,6
2022-04,7
2022-05,11
2022-06,5
2022-07,13
2022-08,25
2022-09,11
2022-10,11
2022-11,13
2022-12,3
2023-01,4
2023-02,10
2023-03,15
2023-04,23
2023-05,25
2023-06,17
2023-07,9
2023-08,12
2023-09,14
2023-10,12
2023-11,16
2023-12,8
2024-01,3
2024-02,8
2024-03,12
2024-04,10
2024-05,12
2024-06,4
2024-07,11
2024-08,17
2024-09,15
2024-10,10
2024-11,13
2024-12,8
2025-01,3
2025-02,12
2025-03,14
2025-04,11
2025-05,26
2025-06,4
2025-07,13
2025-08,15
2025-09,13
2025-10,14
2025-11,11
2025-12,26
